"","MEAN","SD","2.5%","97.5%","RSE"
"mu[1]",0.656091889110262,0.0977421300114058,0.441150408405057,0.826225583754638,14.8976281575368
"mu[2]",0.878237279600732,0.0502543733836569,0.757317657723093,0.949719466620005,5.72218631011698
"mu[3]",0.579076925210075,0.101896421673784,0.376053183516054,0.772761721836411,17.5963533060514
"mu[4]",0.623184989024434,0.0993294724459097,0.409869069049215,0.800786665293186,15.9390027351919
"mu[5]",0.762822353748495,0.0796455956329991,0.592001607837555,0.893922545622491,10.4409100286092
"mu[6]",0.497429462862455,0.109584022167544,0.281320433248495,0.721248318465751,22.030062621732
"mu[7]",0.662275614901356,0.107471176405858,0.421585816977389,0.843045533460111,16.2275605484682
"mu[8]",0.840346666358968,0.0658372373914628,0.678853544567569,0.933325936598425,7.83453305963843
"mu[9]",0.985559586500044,0.00734325941306229,0.965990849404027,0.9950225946543,0.745085280854499
"mu[10]",0.882704906865791,0.0491476847699267,0.763119449022159,0.95258059715086,5.56784995615746
