"","MEAN","SD","2.5%","97.5%","RSE"
"mu[1]",0.699045270070347,0.136432694423395,0.395842144335066,0.910743211721824,19.5170041576371
"mu[2]",0.828223852238586,0.102393090054334,0.574384095723416,0.957831680324787,12.3629728578305
"mu[3]",0.608317249589513,0.150886029373153,0.298242124335074,0.86506719244598,24.803838700114
"mu[4]",0.677977920401071,0.136887256573089,0.371340227987279,0.89808297035579,20.1905183714701
"mu[5]",0.841194670326964,0.0940908380255213,0.605143554033276,0.964060846402255,11.1853820934159
"mu[6]",0.63803236985484,0.145586602572041,0.325367286029564,0.886223965505114,22.8180589967816
"mu[7]",0.513590058765524,0.169716205593531,0.196693696833353,0.824129630235671,33.0450721732162
"mu[8]",0.815088583374788,0.101382911660742,0.569424957978041,0.956344643675753,12.4382691315558
"mu[9]",0.83147497780223,0.0964567907742197,0.601722369762474,0.960372915244526,11.6006847288629
"mu[10]",0.907622136993238,0.0615548055429011,0.760037253344953,0.980456443570277,6.78198592057476
